dataset,mutations,seed,ari,ccf_r,ccf_max_abs,ccf_mean_abs
synthetic,100,7,1.0,1.0,1.1324274851176597e-14,6.665249949189267e-15
synthetic,100,42,1.0,0.9999999999999996,9.880984919163893e-15,4.333981090676175e-15
synthetic,100,123,1.0,0.9999999999999996,1.2656542480726785e-14,6.3892641177787366e-15
tracerx_100,100,7,1.0,1.0,9.769962616701378e-15,2.8482053768989304e-15
tracerx_100,100,42,1.0,1.0,1.2934098236883074e-14,4.1264015049132165e-15
tracerx_100,100,123,1.0,1.0,1.3100631690576847e-14,2.6367112418377706e-15
tracerx_250,250,7,1.0,1.0,1.163513729807164e-13,2.881186583440545e-14
tracerx_250,250,42,1.0,1.0,5.3512749786932545e-14,1.5050641216536138e-14
tracerx_250,250,123,1.0,1.0,9.50350909079134e-14,2.3657732240237048e-14
tracerx_500,500,7,1.0,0.9999999999999997,5.806466418789569e-14,1.7834421958798266e-14
tracerx_500,500,42,1.0,1.0,1.528221993396528e-13,1.7309019927396146e-14
tracerx_500,500,123,1.0,1.0,6.38378239159465e-14,1.7768772423796497e-14
tracerx_1000,1000,7,1.0,1.0,1.3133938381315602e-13,2.60218446835159e-14
tracerx_1000,1000,42,1.0,1.0,3.7558844923069046e-13,4.84762487120994e-14
tracerx_1000,1000,123,1.0,1.0,1.4732659536775827e-13,2.518927564422268e-14
tracerx_2440,2440,7,1.0,1.0,4.871658632055187e-13,1.2898311183038412e-13
tracerx_2440,2440,42,1.0,0.9999999999999993,5.513367540288527e-13,1.2719841511206247e-13
tracerx_2440,2440,123,1.0,1.0,2.8987923172962837e-13,7.258280005105232e-14
