tool,threads,metric,median_s,iqr_s,min_s,max_s,cv_pct
pyclone-vi,2,warm-in-process,1.7526972269997714,0.018709926000155974,1.7432048260006923,1.7654188320002504,0.4862360685482806
unclone,8,kernel,0.061021,0.007870000000000009,0.060589,0.09529699999999999,18.695202577205475
unclone,4,kernel,0.092719,0.00787199999999999,0.09098300000000001,0.103461,4.997162404300569
pyclone-vi,8,warm-in-process,1.7225506039994798,0.007312092000574921,1.699056907999875,1.7489329179998094,0.8522329170406939
pyclone-vi,16,warm-in-process,1.808117972999753,0.02772495100089145,1.7813542650001182,1.8405050669998673,1.16285682681125
unclone,2,kernel,0.193257,0.041321,0.161306,0.204739,11.05327413308398
pyclone-vi,1,warm-in-process,1.8378169369998432,0.012106642999242467,1.813968785000725,1.8597138080003788,0.7504751011617221
unclone,16,kernel,0.057436999999999995,0.004605000000000005,0.056417,0.068128,7.089092223817107
unclone,1,kernel,0.292772,0.017791999999999975,0.291964,0.310784,2.9534444020145854
pyclone-vi,4,warm-in-process,1.7138673710005605,0.019924053000067943,1.7058070060002137,1.7543981770004393,0.9811544616158288
