tool,dataset,mutations,threads,rep,seconds,wall_s,metric
unclone,tracerx_1000,1000,1,4,0.158644,0.1690468229999169,kernel
pyclone-vi,tracerx_250,250,1,3,0.25971478700012085,0.25971478700012085,warm-in-process
pyclone-vi,tracerx_2440,2440,2,1,1.764516941000693,1.764516941000693,warm-in-process
unclone,tracerx_500,500,8,3,0.022758,0.03017888300018967,kernel
unclone,tracerx_500,500,8,4,0.022557999999999998,0.030303495999760344,kernel
unclone,tracerx_2440,2440,8,5,0.060655,0.08374693600035243,kernel
unclone,synthetic,100,8,1,0.008503,0.015737251000246033,kernel
unclone,tracerx_500,500,1,6,0.075101,0.08423166499960644,kernel
pyclone-vi,tracerx_500,500,8,1,0.3505169540003408,0.3505169540003408,warm-in-process
pyclone-vi,tracerx_1000,1000,8,4,0.6876048639996952,0.6876048639996952,warm-in-process
unclone,tracerx_250,250,1,2,0.045950000000000005,0.05326964400046563,kernel
unclone,tracerx_2440,2440,8,3,0.066646,0.08978512900011992,kernel
unclone,synthetic,100,1,2,0.019395,0.02565848599988385,kernel
pyclone-vi,tracerx_500,500,1,6,0.34060073799992097,0.34060073799992097,warm-in-process
pyclone-vi,tracerx_100,100,1,5,0.07367709200025274,0.07367709200025274,warm-in-process
unclone,tracerx_500,500,1,0,0.070659,0.07769352400009666,kernel
unclone,tracerx_2440,2440,4,0,0.09104300000000001,0.11092896799982555,kernel
pyclone-vi,tracerx_250,250,1,5,0.17712166600085766,0.17712166600085766,warm-in-process
pyclone-vi,tracerx_100,100,8,1,0.07308041300075274,0.07308041300075274,warm-in-process
pyclone-vi,tracerx_2440,2440,8,1,1.7165362859996094,1.7165362859996094,warm-in-process
pyclone-vi,synthetic,100,8,5,0.08459306200074934,0.08459306200074934,warm-in-process
pyclone-vi,tracerx_2440,2440,16,2,1.7813542650001182,1.7813542650001182,warm-in-process
unclone,tracerx_100,100,1,1,0.021397,0.027467818999866722,kernel
unclone,tracerx_100,100,1,6,0.02165,0.02699096499964071,kernel
unclone,tracerx_250,250,1,1,0.037973,0.04495278699960181,kernel
pyclone-vi,tracerx_250,250,8,3,0.1722756280005342,0.1722756280005342,warm-in-process
pyclone-vi,tracerx_100,100,8,5,0.07394357199973456,0.07394357199973456,warm-in-process
unclone,tracerx_2440,2440,2,5,0.193257,0.21370342499994877,kernel
unclone,tracerx_100,100,8,2,0.005582,0.00967155700072908,kernel
unclone,synthetic,100,1,0,0.016727,0.021017562999986694,kernel
pyclone-vi,tracerx_2440,2440,1,2,1.8597138080003788,1.8597138080003788,warm-in-process
unclone,tracerx_250,250,8,0,0.01089,0.01631448399984947,kernel
unclone,tracerx_2440,2440,16,5,0.056417,0.07820798800003104,kernel
unclone,tracerx_100,100,8,1,0.00808,0.014187003999722947,kernel
pyclone-vi,tracerx_250,250,1,4,0.17785206499956985,0.17785206499956985,warm-in-process
unclone,tracerx_1000,1000,1,5,0.15881,0.16936770499978593,kernel
unclone,tracerx_500,500,8,1,0.019649999999999997,0.026532405000580184,kernel
unclone,tracerx_100,100,1,4,0.038253,0.04362187099923176,kernel
unclone,tracerx_2440,2440,1,0,0.292371,0.31343998499960435,kernel
pyclone-vi,synthetic,100,8,1,0.08832760600034817,0.08832760600034817,warm-in-process
pyclone-vi,tracerx_2440,2440,4,4,1.7058070060002137,1.7058070060002137,warm-in-process
unclone,tracerx_2440,2440,4,5,0.103461,0.12554797299981146,kernel
unclone,tracerx_1000,1000,1,6,0.159422,0.17075690000001487,kernel
unclone,tracerx_1000,1000,1,3,0.158565,0.16864799500035588,kernel
pyclone-vi,tracerx_250,250,1,1,0.1743896620000669,0.1743896620000669,warm-in-process
pyclone-vi,tracerx_1000,1000,8,5,0.6924676829994496,0.6924676829994496,warm-in-process
pyclone-vi,tracerx_2440,2440,8,0,1.7238483780001843,1.7238483780001843,warm-in-process
unclone,tracerx_100,100,1,2,0.020763999999999998,0.026016767999863077,kernel
pyclone-vi,tracerx_2440,2440,2,4,1.7515401360005853,1.7515401360005853,warm-in-process
unclone,synthetic,100,1,6,0.015673,0.02302558900009899,kernel
unclone,tracerx_500,500,1,5,0.070836,0.07770140899992839,kernel
unclone,tracerx_100,100,8,0,0.0054989999999999995,0.008924325000407407,kernel
pyclone-vi,tracerx_250,250,1,2,0.17460422499971173,0.17460422499971173,warm-in-process
unclone,tracerx_250,250,1,4,0.032508,0.03795738999997411,kernel
unclone,synthetic,100,8,0,0.005939,0.010110570000506414,kernel
unclone,tracerx_2440,2440,8,0,0.060592,0.08152267500008747,kernel
pyclone-vi,tracerx_250,250,8,2,0.17942138800026441,0.17942138800026441,warm-in-process
unclone,tracerx_2440,2440,1,6,0.310101,0.335545687999911,kernel
pyclone-vi,tracerx_2440,2440,4,2,1.7163999000003969,1.7163999000003969,warm-in-process
pyclone-vi,tracerx_2440,2440,2,3,1.7654188320002504,1.7654188320002504,warm-in-process
pyclone-vi,tracerx_2440,2440,4,1,1.7112919809997038,1.7112919809997038,warm-in-process
pyclone-vi,tracerx_2440,2440,4,5,1.7099477609999667,1.7099477609999667,warm-in-process
pyclone-vi,tracerx_100,100,1,4,0.07428654499926779,0.07428654499926779,warm-in-process
unclone,tracerx_2440,2440,1,1,0.292806,0.31254525699932856,kernel
unclone,tracerx_250,250,1,5,0.032585,0.03831725399959396,kernel
pyclone-vi,tracerx_1000,1000,1,2,0.7194004780003525,0.7194004780003525,warm-in-process
unclone,tracerx_2440,2440,8,2,0.061021,0.08284624699990673,kernel
pyclone-vi,tracerx_500,500,1,4,0.35617653600002086,0.35617653600002086,warm-in-process
unclone,tracerx_2440,2440,16,1,0.058121,0.08009615999981179,kernel
pyclone-vi,tracerx_1000,1000,1,6,0.7294838060006441,0.7294838060006441,warm-in-process
unclone,tracerx_500,500,1,3,0.07092799999999999,0.07826671900056681,kernel
pyclone-vi,tracerx_100,100,8,0,0.07487822500024777,0.07487822500024777,warm-in-process
unclone,tracerx_2440,2440,2,2,0.20395,0.2304322760001014,kernel
pyclone-vi,tracerx_100,100,1,2,0.07582196400016983,0.07582196400016983,warm-in-process
unclone,synthetic,100,8,3,0.005826,0.010606919999190723,kernel
unclone,tracerx_2440,2440,16,6,0.056586,0.07745505700040667,kernel
pyclone-vi,synthetic,100,8,4,0.09500967599979049,0.09500967599979049,warm-in-process
pyclone-vi,tracerx_1000,1000,1,3,0.7474932189998071,0.7474932189998071,warm-in-process
unclone,tracerx_2440,2440,1,5,0.29230900000000004,0.31206047799969383,kernel
pyclone-vi,tracerx_500,500,8,2,0.3366211350003141,0.3366211350003141,warm-in-process
pyclone-vi,tracerx_100,100,1,0,0.09231550299955416,0.09231550299955416,warm-in-process
unclone,tracerx_2440,2440,4,1,0.094058,0.11512055799994414,kernel
pyclone-vi,tracerx_1000,1000,1,1,0.7177580779998607,0.7177580779998607,warm-in-process
pyclone-vi,synthetic,100,8,0,0.08498874399992928,0.08498874399992928,warm-in-process
pyclone-vi,tracerx_250,250,8,0,0.16896217399971647,0.16896217399971647,warm-in-process
unclone,tracerx_2440,2440,2,4,0.19584000000000001,0.22179636100008793,kernel
unclone,tracerx_500,500,1,2,0.070463,0.07792219300063152,kernel
unclone,synthetic,100,8,4,0.006058,0.010945105000246258,kernel
pyclone-vi,tracerx_1000,1000,1,0,0.7150445699999182,0.7150445699999182,warm-in-process
pyclone-vi,tracerx_100,100,1,6,0.0737591759998395,0.0737591759998395,warm-in-process
unclone,tracerx_2440,2440,4,6,0.09098300000000001,0.11091881899938016,kernel
pyclone-vi,tracerx_2440,2440,16,6,1.7859557439996934,1.7859557439996934,warm-in-process
unclone,tracerx_2440,2440,2,6,0.204739,0.2315147449999131,kernel
pyclone-vi,synthetic,100,1,3,0.08598227800030145,0.08598227800030145,warm-in-process
pyclone-vi,tracerx_2440,2440,16,0,1.8107992519999243,1.8107992519999243,warm-in-process
pyclone-vi,tracerx_250,250,8,4,0.1888524129999496,0.1888524129999496,warm-in-process
pyclone-vi,tracerx_100,100,1,1,0.09194946699972206,0.09194946699972206,warm-in-process
pyclone-vi,synthetic,100,1,1,0.0839887189995352,0.0839887189995352,warm-in-process
unclone,tracerx_2440,2440,1,2,0.291964,0.3120372139992469,kernel
unclone,tracerx_250,250,8,3,0.010698000000000001,0.015971640999850933,kernel
unclone,tracerx_100,100,1,0,0.015955999999999998,0.01992632700057584,kernel
pyclone-vi,tracerx_2440,2440,1,5,1.813968785000725,1.813968785000725,warm-in-process
unclone,tracerx_100,100,8,4,0.005997,0.010164641000301344,kernel
unclone,tracerx_1000,1000,8,5,0.04385,0.054050487000495195,kernel
unclone,tracerx_2440,2440,4,3,0.098915,0.13326218800011702,kernel
unclone,tracerx_2440,2440,2,3,0.162911,0.18260359600026277,kernel
pyclone-vi,tracerx_500,500,1,5,0.34597847199984244,0.34597847199984244,warm-in-process
pyclone-vi,tracerx_2440,2440,8,6,1.7238229510003293,1.7238229510003293,warm-in-process
pyclone-vi,tracerx_100,100,1,3,0.09310723799990228,0.09310723799990228,warm-in-process
unclone,tracerx_250,250,1,3,0.032539,0.03834887300035916,kernel
unclone,tracerx_2440,2440,2,1,0.162629,0.18227159199977905,kernel
unclone,synthetic,100,8,2,0.005869,0.010824068000147236,kernel
pyclone-vi,tracerx_2440,2440,1,0,1.8376966510004422,1.8376966510004422,warm-in-process
pyclone-vi,tracerx_2440,2440,2,0,1.7432048260006923,1.7432048260006923,warm-in-process
unclone,tracerx_250,250,1,6,0.032759,0.03857459600021684,kernel
pyclone-vi,tracerx_500,500,8,3,0.33748672799993074,0.33748672799993074,warm-in-process
pyclone-vi,tracerx_1000,1000,8,2,0.6913497559999087,0.6913497559999087,warm-in-process
pyclone-vi,tracerx_2440,2440,1,6,1.8415534329997172,1.8415534329997172,warm-in-process
unclone,tracerx_500,500,8,0,0.020267,0.027685906999977306,kernel
pyclone-vi,tracerx_2440,2440,8,3,1.7489329179998094,1.7489329179998094,warm-in-process
pyclone-vi,tracerx_100,100,8,4,0.07362350199946377,0.07362350199946377,warm-in-process
pyclone-vi,tracerx_1000,1000,8,6,0.6897853119999127,0.6897853119999127,warm-in-process
unclone,tracerx_1000,1000,8,6,0.075276,0.08620651799992629,kernel
pyclone-vi,tracerx_2440,2440,8,4,1.720047651000641,1.720047651000641,warm-in-process
unclone,tracerx_2440,2440,8,1,0.09529699999999999,0.11865003699949739,kernel
pyclone-vi,synthetic,100,1,2,0.09304950000023382,0.09304950000023382,warm-in-process
pyclone-vi,tracerx_2440,2440,1,4,1.8410204940000767,1.8410204940000767,warm-in-process
pyclone-vi,tracerx_100,100,8,6,0.07390384700011055,0.07390384700011055,warm-in-process
pyclone-vi,tracerx_250,250,8,5,0.17631478300063463,0.17631478300063463,warm-in-process
pyclone-vi,tracerx_100,100,8,2,0.07257241099978273,0.07257241099978273,warm-in-process
unclone,tracerx_1000,1000,8,3,0.051542000000000004,0.06359291199987638,kernel
pyclone-vi,tracerx_2440,2440,2,6,1.7526972269997714,1.7526972269997714,warm-in-process
unclone,synthetic,100,1,3,0.015547,0.02242967099937232,kernel
unclone,tracerx_2440,2440,8,4,0.06846200000000001,0.08907934499984549,kernel
unclone,tracerx_2440,2440,4,4,0.092719,0.11990539099952002,kernel
unclone,tracerx_100,100,1,3,0.015623,0.020452282999940508,kernel
unclone,tracerx_2440,2440,1,3,0.292772,0.3119995530005326,kernel
pyclone-vi,tracerx_2440,2440,4,0,1.7138673710005605,1.7138673710005605,warm-in-process
pyclone-vi,tracerx_500,500,8,4,0.3425227419993462,0.3425227419993462,warm-in-process
unclone,tracerx_500,500,1,4,0.09143899999999999,0.1004870070000834,kernel
unclone,tracerx_100,100,8,6,0.005914,0.010014139000304567,kernel
unclone,tracerx_2440,2440,2,0,0.161306,0.1816699040000458,kernel
pyclone-vi,tracerx_2440,2440,1,3,1.8294467900004747,1.8294467900004747,warm-in-process
unclone,tracerx_500,500,8,6,0.020267,0.02742784399924858,kernel
unclone,tracerx_2440,2440,16,2,0.061191,0.09353753499999584,kernel
pyclone-vi,tracerx_2440,2440,4,6,1.7298718140000346,1.7298718140000346,warm-in-process
unclone,tracerx_1000,1000,1,1,0.16166,0.17784157599999162,kernel
unclone,tracerx_100,100,8,5,0.005742,0.009884776000035345,kernel
pyclone-vi,tracerx_2440,2440,2,2,1.745807015000537,1.745807015000537,warm-in-process
pyclone-vi,tracerx_2440,2440,4,3,1.7543981770004393,1.7543981770004393,warm-in-process
pyclone-vi,tracerx_100,100,8,3,0.07305864200043288,0.07305864200043288,warm-in-process
unclone,tracerx_1000,1000,1,0,0.158799,0.16965473299933365,kernel
unclone,tracerx_250,250,8,4,0.010676,0.01581033899947215,kernel
pyclone-vi,tracerx_1000,1000,1,5,0.7424922509999305,0.7424922509999305,warm-in-process
unclone,tracerx_100,100,8,3,0.006173,0.010288544000104594,kernel
pyclone-vi,tracerx_1000,1000,8,1,0.7056366369997704,0.7056366369997704,warm-in-process
pyclone-vi,tracerx_500,500,1,0,0.35525607999989006,0.35525607999989006,warm-in-process
unclone,tracerx_2440,2440,16,4,0.057436999999999995,0.07852360099968791,kernel
pyclone-vi,synthetic,100,1,0,0.09212721000039892,0.09212721000039892,warm-in-process
pyclone-vi,tracerx_1000,1000,1,4,0.715757386000405,0.715757386000405,warm-in-process
unclone,tracerx_2440,2440,16,0,0.057294,0.08056378699984634,kernel
unclone,tracerx_500,500,8,2,0.022768999999999998,0.033775347000300826,kernel
unclone,synthetic,100,1,1,0.026417000000000003,0.033049847000256705,kernel
unclone,tracerx_2440,2440,4,2,0.091809,0.11162158699971769,kernel
pyclone-vi,tracerx_250,250,1,6,0.17674907699984033,0.17674907699984033,warm-in-process
unclone,tracerx_500,500,8,5,0.020236,0.027470613999867055,kernel
unclone,tracerx_250,250,8,1,0.012745,0.020275732000300195,kernel
unclone,synthetic,100,1,5,0.025065,0.032534140000279876,kernel
pyclone-vi,tracerx_500,500,1,3,0.34331474699956743,0.34331474699956743,warm-in-process
unclone,tracerx_2440,2440,8,6,0.060589,0.08163901199986867,kernel
pyclone-vi,tracerx_2440,2440,8,2,1.7225506039994798,1.7225506039994798,warm-in-process
pyclone-vi,tracerx_2440,2440,16,1,1.8136806950005848,1.8136806950005848,warm-in-process
unclone,tracerx_250,250,8,5,0.073652,0.0824684380004328,kernel
unclone,synthetic,100,1,4,0.015486000000000002,0.01986978100012493,kernel
unclone,tracerx_1000,1000,8,0,0.04076,0.052083829999901354,kernel
unclone,tracerx_1000,1000,8,4,0.042226,0.0560123659997771,kernel
unclone,tracerx_250,250,8,6,0.013265,0.0203522450001401,kernel
pyclone-vi,synthetic,100,1,6,0.09176174599997466,0.09176174599997466,warm-in-process
pyclone-vi,tracerx_250,250,8,6,0.17116904300019087,0.17116904300019087,warm-in-process
unclone,tracerx_2440,2440,1,4,0.310784,0.3359584529998756,kernel
pyclone-vi,tracerx_2440,2440,16,5,1.7863309470003514,1.7863309470003514,warm-in-process
pyclone-vi,tracerx_2440,2440,16,3,1.8405050669998673,1.8405050669998673,warm-in-process
