tool,dataset,mutations,threads,metric,median_s,iqr_s,min_s,max_s,cv_pct
unclone,tracerx_1000,1000,1,cli-wall,0.16965473299933365,0.0017100770000979537,0.16864799500035588,0.17784157599999162,1.8640356757236
pyclone-vi,tracerx_250,250,1,warm-in-process,0.17674907699984033,0.0032478399998581153,0.1743896620000669,0.25971478700012085,16.864879458677105
pyclone-vi,tracerx_2440,2440,2,warm-in-process,1.7526972269997714,0.018709926000155974,1.7432048260006923,1.7654188320002504,0.4862360685482806
unclone,tracerx_500,500,8,cli-wall,0.027685906999977306,0.0028756520005117636,0.026532405000580184,0.033775347000300826,8.718715830363942
unclone,tracerx_2440,2440,8,cli-wall,0.08374693600035243,0.008146117000251252,0.08152267500008747,0.11865003699949739,14.781582060458696
unclone,synthetic,100,8,cli-wall,0.010945105000246258,0.0051303310010553105,0.010110570000506414,0.01737187599974277,22.81467730471964
unclone,tracerx_500,500,1,cli-wall,0.07804140699954587,0.006530255999678047,0.07769352400009666,0.1004870070000834,10.317654788208939
pyclone-vi,tracerx_500,500,8,warm-in-process,0.3366211350003141,0.0077701409991277615,0.3309892739998759,0.3505169540003408,1.8905871677953088
pyclone-vi,tracerx_1000,1000,8,warm-in-process,0.6924676829994496,0.02248638800028857,0.6876048639996952,0.7299708900000041,2.2230797342807955
unclone,tracerx_250,250,1,cli-wall,0.038389129000279354,0.006635533000007854,0.03795738999997411,0.05326964400046563,13.987774178530945
unclone,synthetic,100,1,cli-wall,0.02302558900009899,0.011516577000293182,0.01986978100012493,0.033049847000256705,21.210380807377085
pyclone-vi,tracerx_500,500,1,warm-in-process,0.34597847199984244,0.013061673999800405,0.34060073799992097,0.35617653600002086,1.9490863851584759
pyclone-vi,tracerx_100,100,1,warm-in-process,0.07582196400016983,0.018556326999714656,0.07367709200025274,0.09310723799990228,11.799512991154966
unclone,tracerx_2440,2440,4,cli-wall,0.11512055799994414,0.014619004999985918,0.11091881899938016,0.13326218800011702,7.265568600655189
pyclone-vi,tracerx_100,100,8,warm-in-process,0.07362350199946377,0.0008849299993016757,0.07257241099978273,0.07487822500024777,1.032199282343572
pyclone-vi,tracerx_2440,2440,8,warm-in-process,1.7225506039994798,0.007312092000574921,1.699056907999875,1.7489329179998094,0.8522329170406939
pyclone-vi,synthetic,100,8,warm-in-process,0.08498874399992928,0.0037005000003773603,0.08459306200074934,0.09500967599979049,4.336523094855127
pyclone-vi,tracerx_2440,2440,16,warm-in-process,1.808117972999753,0.02772495100089145,1.7813542650001182,1.8405050669998673,1.16285682681125
unclone,tracerx_100,100,1,cli-wall,0.02699096499964071,0.023169587999291252,0.01992632700057584,0.05011282399937045,37.926012575392505
pyclone-vi,tracerx_250,250,8,warm-in-process,0.17631478300063463,0.017683369999758725,0.16896217399971647,0.1983700710006815,5.962989834893502
unclone,tracerx_2440,2440,2,cli-wall,0.21370342499994877,0.04816068400032236,0.1816699040000458,0.2315147449999131,11.297299592923501
unclone,tracerx_100,100,8,cli-wall,0.010014139000304567,0.0006169869993755128,0.008924325000407407,0.014187003999722947,16.353545112883527
pyclone-vi,tracerx_2440,2440,1,warm-in-process,1.8378169369998432,0.012106642999242467,1.813968785000725,1.8597138080003788,0.7504751011617221
unclone,tracerx_250,250,8,cli-wall,0.019955090000621567,0.004380604000289168,0.01581033899947215,0.0824684380004328,89.40463886939096
unclone,tracerx_2440,2440,16,cli-wall,0.08009615999981179,0.012667635000070732,0.07745505700040667,0.09353753499999584,7.9663498426380075
unclone,tracerx_2440,2440,1,cli-wall,0.31254525699932856,0.023508474000664137,0.3119995530005326,0.3359584529998756,3.572181198166791
pyclone-vi,tracerx_2440,2440,4,warm-in-process,1.7138673710005605,0.019924053000067943,1.7058070060002137,1.7543981770004393,0.9811544616158288
pyclone-vi,tracerx_1000,1000,1,warm-in-process,0.7194004780003525,0.026734864999525598,0.7150445699999182,0.7474932189998071,1.8445586698050533
pyclone-vi,synthetic,100,1,warm-in-process,0.09176174599997466,0.008066336999945634,0.0839887189995352,0.11437068199938949,11.278286529871814
unclone,tracerx_1000,1000,8,cli-wall,0.06359291199987638,0.032156030999431096,0.052083829999901354,0.09505588200045167,24.836372112807815
