mutation_id	sample_id	cluster_id	cellular_prevalence	cellular_prevalence_std	cluster_assignment_prob
m11	s0	0	0.15012427330339345	0.002489624293401471	0.9999919296334522
m11	s1	0	0.7501918298106341	0.003094021343191627	0.9999919296334522
m11	s2	0	0.9499997816644582	0.00010448315221129527	0.9999919296334522
m11	s3	0	0.3495623288468478	0.004669223843814378	0.9999919296334522
m14	s0	0	0.15012427330339345	0.002489624293401471	0.9999999760823005
m14	s1	0	0.7501918298106341	0.003094021343191627	0.9999999760823005
m14	s2	0	0.9499997816644582	0.00010448315221129527	0.9999999760823005
m14	s3	0	0.3495623288468478	0.004669223843814378	0.9999999760823005
m15	s0	0	0.15012427330339345	0.002489624293401471	0.999999999993646
m15	s1	0	0.7501918298106341	0.003094021343191627	0.999999999993646
m15	s2	0	0.9499997816644582	0.00010448315221129527	0.999999999993646
m15	s3	0	0.3495623288468478	0.004669223843814378	0.999999999993646
m17	s0	0	0.15012427330339345	0.002489624293401471	0.999999999993614
m17	s1	0	0.7501918298106341	0.003094021343191627	0.999999999993614
m17	s2	0	0.9499997816644582	0.00010448315221129527	0.999999999993614
m17	s3	0	0.3495623288468478	0.004669223843814378	0.999999999993614
m2	s0	0	0.15012427330339345	0.002489624293401471	0.993733384955345
m2	s1	0	0.7501918298106341	0.003094021343191627	0.993733384955345
m2	s2	0	0.9499997816644582	0.00010448315221129527	0.993733384955345
m2	s3	0	0.3495623288468478	0.004669223843814378	0.993733384955345
m26	s0	0	0.15012427330339345	0.002489624293401471	0.9999999998990923
m26	s1	0	0.7501918298106341	0.003094021343191627	0.9999999998990923
m26	s2	0	0.9499997816644582	0.00010448315221129527	0.9999999998990923
m26	s3	0	0.3495623288468478	0.004669223843814378	0.9999999998990923
m3	s0	0	0.15012427330339345	0.002489624293401471	0.9891288363061165
m3	s1	0	0.7501918298106341	0.003094021343191627	0.9891288363061165
m3	s2	0	0.9499997816644582	0.00010448315221129527	0.9891288363061165
m3	s3	0	0.3495623288468478	0.004669223843814378	0.9891288363061165
m31	s0	0	0.15012427330339345	0.002489624293401471	0.9999999202427926
m31	s1	0	0.7501918298106341	0.003094021343191627	0.9999999202427926
m31	s2	0	0.9499997816644582	0.00010448315221129527	0.9999999202427926
m31	s3	0	0.3495623288468478	0.004669223843814378	0.9999999202427926
m32	s0	0	0.15012427330339345	0.002489624293401471	0.9798033823231697
m32	s1	0	0.7501918298106341	0.003094021343191627	0.9798033823231697
m32	s2	0	0.9499997816644582	0.00010448315221129527	0.9798033823231697
m32	s3	0	0.3495623288468478	0.004669223843814378	0.9798033823231697
m36	s0	0	0.15012427330339345	0.002489624293401471	0.9927982144952604
m36	s1	0	0.7501918298106341	0.003094021343191627	0.9927982144952604
m36	s2	0	0.9499997816644582	0.00010448315221129527	0.9927982144952604
m36	s3	0	0.3495623288468478	0.004669223843814378	0.9927982144952604
m39	s0	0	0.15012427330339345	0.002489624293401471	0.9997096184117098
m39	s1	0	0.7501918298106341	0.003094021343191627	0.9997096184117098
m39	s2	0	0.9499997816644582	0.00010448315221129527	0.9997096184117098
m39	s3	0	0.3495623288468478	0.004669223843814378	0.9997096184117098
m4	s0	0	0.15012427330339345	0.002489624293401471	1.0
m4	s1	0	0.7501918298106341	0.003094021343191627	1.0
m4	s2	0	0.9499997816644582	0.00010448315221129527	1.0
m4	s3	0	0.3495623288468478	0.004669223843814378	1.0
m40	s0	0	0.15012427330339345	0.002489624293401471	0.9999999999999538
m40	s1	0	0.7501918298106341	0.003094021343191627	0.9999999999999538
m40	s2	0	0.9499997816644582	0.00010448315221129527	0.9999999999999538
m40	s3	0	0.3495623288468478	0.004669223843814378	0.9999999999999538
m42	s0	0	0.15012427330339345	0.002489624293401471	1.0
m42	s1	0	0.7501918298106341	0.003094021343191627	1.0
m42	s2	0	0.9499997816644582	0.00010448315221129527	1.0
m42	s3	0	0.3495623288468478	0.004669223843814378	1.0
m44	s0	0	0.15012427330339345	0.002489624293401471	0.9999999984528412
m44	s1	0	0.7501918298106341	0.003094021343191627	0.9999999984528412
m44	s2	0	0.9499997816644582	0.00010448315221129527	0.9999999984528412
m44	s3	0	0.3495623288468478	0.004669223843814378	0.9999999984528412
m51	s0	0	0.15012427330339345	0.002489624293401471	0.9999962539982225
m51	s1	0	0.7501918298106341	0.003094021343191627	0.9999962539982225
m51	s2	0	0.9499997816644582	0.00010448315221129527	0.9999962539982225
m51	s3	0	0.3495623288468478	0.004669223843814378	0.9999962539982225
m52	s0	0	0.15012427330339345	0.002489624293401471	1.0
m52	s1	0	0.7501918298106341	0.003094021343191627	1.0
m52	s2	0	0.9499997816644582	0.00010448315221129527	1.0
m52	s3	0	0.3495623288468478	0.004669223843814378	1.0
m53	s0	0	0.15012427330339345	0.002489624293401471	1.0
m53	s1	0	0.7501918298106341	0.003094021343191627	1.0
m53	s2	0	0.9499997816644582	0.00010448315221129527	1.0
m53	s3	0	0.3495623288468478	0.004669223843814378	1.0
m57	s0	0	0.15012427330339345	0.002489624293401471	0.9999998844681168
m57	s1	0	0.7501918298106341	0.003094021343191627	0.9999998844681168
m57	s2	0	0.9499997816644582	0.00010448315221129527	0.9999998844681168
m57	s3	0	0.3495623288468478	0.004669223843814378	0.9999998844681168
m58	s0	0	0.15012427330339345	0.002489624293401471	0.9999999976113081
m58	s1	0	0.7501918298106341	0.003094021343191627	0.9999999976113081
m58	s2	0	0.9499997816644582	0.00010448315221129527	0.9999999976113081
m58	s3	0	0.3495623288468478	0.004669223843814378	0.9999999976113081
m59	s0	0	0.15012427330339345	0.002489624293401471	0.9999943138004265
m59	s1	0	0.7501918298106341	0.003094021343191627	0.9999943138004265
m59	s2	0	0.9499997816644582	0.00010448315221129527	0.9999943138004265
m59	s3	0	0.3495623288468478	0.004669223843814378	0.9999943138004265
m61	s0	0	0.15012427330339345	0.002489624293401471	0.9996835316843574
m61	s1	0	0.7501918298106341	0.003094021343191627	0.9996835316843574
m61	s2	0	0.9499997816644582	0.00010448315221129527	0.9996835316843574
m61	s3	0	0.3495623288468478	0.004669223843814378	0.9996835316843574
m65	s0	0	0.15012427330339345	0.002489624293401471	0.9999999437670952
m65	s1	0	0.7501918298106341	0.003094021343191627	0.9999999437670952
m65	s2	0	0.9499997816644582	0.00010448315221129527	0.9999999437670952
m65	s3	0	0.3495623288468478	0.004669223843814378	0.9999999437670952
m67	s0	0	0.15012427330339345	0.002489624293401471	0.9999999991141308
m67	s1	0	0.7501918298106341	0.003094021343191627	0.9999999991141308
m67	s2	0	0.9499997816644582	0.00010448315221129527	0.9999999991141308
m67	s3	0	0.3495623288468478	0.004669223843814378	0.9999999991141308
m68	s0	0	0.15012427330339345	0.002489624293401471	0.9876713158481286
m68	s1	0	0.7501918298106341	0.003094021343191627	0.9876713158481286
m68	s2	0	0.9499997816644582	0.00010448315221129527	0.9876713158481286
m68	s3	0	0.3495623288468478	0.004669223843814378	0.9876713158481286
m71	s0	0	0.15012427330339345	0.002489624293401471	1.0
m71	s1	0	0.7501918298106341	0.003094021343191627	1.0
m71	s2	0	0.9499997816644582	0.00010448315221129527	1.0
m71	s3	0	0.3495623288468478	0.004669223843814378	1.0
m73	s0	0	0.15012427330339345	0.002489624293401471	0.9999999999984865
m73	s1	0	0.7501918298106341	0.003094021343191627	0.9999999999984865
m73	s2	0	0.9499997816644582	0.00010448315221129527	0.9999999999984865
m73	s3	0	0.3495623288468478	0.004669223843814378	0.9999999999984865
m75	s0	0	0.15012427330339345	0.002489624293401471	1.0
m75	s1	0	0.7501918298106341	0.003094021343191627	1.0
m75	s2	0	0.9499997816644582	0.00010448315221129527	1.0
m75	s3	0	0.3495623288468478	0.004669223843814378	1.0
m81	s0	0	0.15012427330339345	0.002489624293401471	0.9999950923965284
m81	s1	0	0.7501918298106341	0.003094021343191627	0.9999950923965284
m81	s2	0	0.9499997816644582	0.00010448315221129527	0.9999950923965284
m81	s3	0	0.3495623288468478	0.004669223843814378	0.9999950923965284
m83	s0	0	0.15012427330339345	0.002489624293401471	0.999999879725035
m83	s1	0	0.7501918298106341	0.003094021343191627	0.999999879725035
m83	s2	0	0.9499997816644582	0.00010448315221129527	0.999999879725035
m83	s3	0	0.3495623288468478	0.004669223843814378	0.999999879725035
m84	s0	0	0.15012427330339345	0.002489624293401471	0.9999999992396678
m84	s1	0	0.7501918298106341	0.003094021343191627	0.9999999992396678
m84	s2	0	0.9499997816644582	0.00010448315221129527	0.9999999992396678
m84	s3	0	0.3495623288468478	0.004669223843814378	0.9999999992396678
m85	s0	0	0.15012427330339345	0.002489624293401471	0.9999878734009728
m85	s1	0	0.7501918298106341	0.003094021343191627	0.9999878734009728
m85	s2	0	0.9499997816644582	0.00010448315221129527	0.9999878734009728
m85	s3	0	0.3495623288468478	0.004669223843814378	0.9999878734009728
m92	s0	0	0.15012427330339345	0.002489624293401471	0.999896354645087
m92	s1	0	0.7501918298106341	0.003094021343191627	0.999896354645087
m92	s2	0	0.9499997816644582	0.00010448315221129527	0.999896354645087
m92	s3	0	0.3495623288468478	0.004669223843814378	0.999896354645087
m93	s0	0	0.15012427330339345	0.002489624293401471	0.999999954610094
m93	s1	0	0.7501918298106341	0.003094021343191627	0.999999954610094
m93	s2	0	0.9499997816644582	0.00010448315221129527	0.999999954610094
m93	s3	0	0.3495623288468478	0.004669223843814378	0.999999954610094
m99	s0	0	0.15012427330339345	0.002489624293401471	0.9999999999956355
m99	s1	0	0.7501918298106341	0.003094021343191627	0.9999999999956355
m99	s2	0	0.9499997816644582	0.00010448315221129527	0.9999999999956355
m99	s3	0	0.3495623288468478	0.004669223843814378	0.9999999999956355
m18	s0	1	0.35341383871009874	0.012620623113809978	1.0
m18	s1	1	0.38386185405845274	0.023393180129888943	1.0
m18	s2	1	0.6405093988031261	0.01968780511611772	1.0
m18	s3	1	0.05000000000000074	6.709958008012069e-9	1.0
m19	s0	1	0.35341383871009874	0.012620623113809978	0.9999875724782245
m19	s1	1	0.38386185405845274	0.023393180129888943	0.9999875724782245
m19	s2	1	0.6405093988031261	0.01968780511611772	0.9999875724782245
m19	s3	1	0.05000000000000074	6.709958008012069e-9	0.9999875724782245
m23	s0	1	0.35341383871009874	0.012620623113809978	0.9999753366738601
m23	s1	1	0.38386185405845274	0.023393180129888943	0.9999753366738601
m23	s2	1	0.6405093988031261	0.01968780511611772	0.9999753366738601
m23	s3	1	0.05000000000000074	6.709958008012069e-9	0.9999753366738601
m25	s0	1	0.35341383871009874	0.012620623113809978	0.999818294988909
